method_id,method_label,status,num_frames,num_acquisitions,top1_recommendation_accuracy,error
DAF,DHTL-Net,ok,902,242,0.9834710743801653,
DHTL_wo_KMD,DHTL-Net w/o KMD,ok,902,242,0.987603305785124,
fusion_residual,Residual,ok,902,242,0.9752066115702479,
fusion_fixed_interp,FixedInterp,ok,902,242,0.9752066115702479,
fusion_learnable_interp,LearnableInterp,ok,902,242,0.9752066115702479,
fusion_gating,Gating,ok,902,242,0.9710743801652892,
fusion_adapter,Adapter,ok,902,242,0.9793388429752066,
transfer_frozen,Frozen,ok,902,242,0.871900826446281,
transfer_all,All,ok,902,242,0.987603305785124,
transfer_l4,FT-S4,ok,902,242,0.9586776859504132,
transfer_l34,FT-S3-S4,ok,902,242,0.9710743801652892,
transfer_l234,FT-S2-S4,ok,902,242,0.987603305785124,
