method_id,method_label,seed,run_dir,best_epoch,test_loss,test_macro_f1,test_balanced_acc,test_accuracy,test_auc,test_sensitivity_usable,test_specificity_unusable,forward_flops_per_sample,forward_gflops_per_sample,profiled_params
DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,0.32174022308546096,0.9130386595122476,0.9126978100896592,0.9133165829145728,0.9714128433401036,0.9256594724220624,0.899736147757256,8523804672.0,8.523804672,55358338.0
DHTL_wo_KMD,DHTL-Net,1,runs_binary_iqa/DHTL_wo_KMD_seed1,,0.336148781542802,0.9054768038176604,0.9051429041463399,0.9057788944723618,0.9711597476636105,0.9184652278177458,0.8918205804749341,8523804672.0,8.523804672,55358338.0
DHTL_wo_KMD,DHTL-Net,2,runs_binary_iqa/DHTL_wo_KMD_seed2,,0.34578650605738465,0.9032661789888181,0.9052694519845865,0.9032663316582915,0.969913251456882,0.8633093525179856,0.9472295514511874,8523804672.0,8.523804672,55358338.0
DHTL_wo_KMD,DHTL-Net,3,runs_binary_iqa/DHTL_wo_KMD_seed3,,0.2635217352428628,0.9195121180522641,0.9201356592826003,0.9195979899497487,0.9745955214720045,0.9088729016786571,0.9313984168865436,8523804672.0,8.523804672,55358338.0
DHTL_wo_KMD,DHTL-Net,4,runs_binary_iqa/DHTL_wo_KMD_seed4,,0.4326766710634807,0.8994746413416852,0.9008307865580887,0.8994974874371859,0.965161380130724,0.8729016786570744,0.9287598944591029,8523804672.0,8.523804672,55358338.0
DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,0.4092803675325672,0.8907019650982391,0.8925577216327203,0.8907035175879398,0.9626367507577052,0.8537170263788969,0.9313984168865436,8468811776.0,8.468811776,51216514.0
DAF,DHTL-Net w/o KMD,1,runs_binary_iqa/DAF_seed1,,0.44479823531816953,0.9045226130653267,0.9065887131983068,0.9045226130653267,0.9685971539391178,0.8633093525179856,0.9498680738786279,8468811776.0,8.468811776,51216514.0
DAF,DHTL-Net w/o KMD,2,runs_binary_iqa/DAF_seed2,,0.35703804205410444,0.9040477096815125,0.9032225407009484,0.9045226130653267,0.9670089785691236,0.9304556354916067,0.8759894459102903,8468811776.0,8.468811776,51216514.0
DAF,DHTL-Net w/o KMD,3,runs_binary_iqa/DAF_seed3,,0.4061155563323342,0.9042299898682877,0.9039438633789538,0.9045226130653267,0.9644970039799294,0.9160671462829736,0.8918205804749341,8468811776.0,8.468811776,51216514.0
DAF,DHTL-Net w/o KMD,4,runs_binary_iqa/DAF_seed4,,0.3469428553353602,0.9119802856059649,0.9127009737856153,0.9120603015075377,0.9732604417785033,0.8992805755395683,0.9261213720316622,8468811776.0,8.468811776,51216514.0
fusion_residual,Residual,0,runs_binary_iqa/fusion_residual_seed0,16.0,0.382394297947012,0.8819095477386935,0.8839239953683491,0.8819095477386935,0.9540314977569395,0.841726618705036,0.9261213720316622,8263290880.0,8.26329088,47020162.0
fusion_residual,Residual,1,runs_binary_iqa/fusion_residual_seed1,12.0,0.44149163082691295,0.8731057646626166,0.8755307099966465,0.8731155778894473,0.9458818169738616,0.8249400479616307,0.9261213720316622,8263290880.0,8.26329088,47020162.0
fusion_residual,Residual,2,runs_binary_iqa/fusion_residual_seed2,8.0,0.36326238864929833,0.8760833651035709,0.8750403371234411,0.8768844221105527,0.9526457989281398,0.9136690647482014,0.8364116094986808,8263290880.0,8.26329088,47020162.0
fusion_residual,Residual,3,runs_binary_iqa/fusion_residual_seed3,15.0,0.3774250510099564,0.8892682803449933,0.8895553741703208,0.8894472361809045,0.9575780009237993,0.8872901678657075,0.8918205804749341,8263290880.0,8.26329088,47020162.0
fusion_residual,Residual,4,runs_binary_iqa/fusion_residual_seed4,22.0,0.35254013911825627,0.8981561775869668,0.8989104231126972,0.8982412060301508,0.9594161082743304,0.8848920863309353,0.9129287598944591,8263290880.0,8.26329088,47020162.0
fusion_fixed_interp,FixedInterp,0,runs_binary_iqa/fusion_fixed_interp_seed0,16.0,0.38635163547368206,0.8664260385005066,0.8661693336623577,0.8668341708542714,0.9464955739893572,0.8800959232613909,0.8522427440633246,8263290880.0,8.26329088,47020162.0
fusion_fixed_interp,FixedInterp,1,runs_binary_iqa/fusion_fixed_interp_seed1,19.0,0.5982418063485143,0.8729694242416103,0.8767329144599887,0.8731155778894473,0.93905456110046,0.8009592326139089,0.9525065963060686,8263290880.0,8.26329088,47020162.0
fusion_fixed_interp,FixedInterp,2,runs_binary_iqa/fusion_fixed_interp_seed2,5.0,0.3403552265922029,0.8667660415732394,0.8677321994647027,0.8668341708542714,0.9326955322285707,0.8489208633093526,0.8865435356200527,8263290880.0,8.26329088,47020162.0
fusion_fixed_interp,FixedInterp,3,runs_binary_iqa/fusion_fixed_interp_seed3,7.0,0.3954596110062683,0.871859296482412,0.8738507874439235,0.871859296482412,0.9433065684655443,0.8321342925659473,0.9155672823218998,8263290880.0,8.26329088,47020162.0
fusion_fixed_interp,FixedInterp,4,runs_binary_iqa/fusion_fixed_interp_seed4,20.0,0.5598903838006882,0.861304711458043,0.8608922888074764,0.8618090452261307,0.9403864770980052,0.8800959232613909,0.841688654353562,8263290880.0,8.26329088,47020162.0
fusion_learnable_interp,LearnableInterp,0,runs_binary_iqa/fusion_learnable_interp_seed0,25.0,0.5626533926633098,0.8666447505673951,0.8670108767866973,0.8668341708542714,0.939231728074005,0.8633093525179856,0.8707124010554089,8263290880.0,8.26329088,47020162.0
fusion_learnable_interp,LearnableInterp,1,runs_binary_iqa/fusion_learnable_interp_seed1,20.0,0.4539018153112344,0.8894465382600076,0.8915991217580026,0.8894472361809045,0.9565751093056952,0.8465227817745803,0.9366754617414248,8263290880.0,8.26329088,47020162.0
fusion_learnable_interp,LearnableInterp,2,runs_binary_iqa/fusion_learnable_interp_seed2,12.0,0.376938990312605,0.8718584875286453,0.8739710078902576,0.871859296482412,0.9438950159133906,0.829736211031175,0.9182058047493403,8263290880.0,8.26329088,47020162.0
fusion_learnable_interp,LearnableInterp,3,runs_binary_iqa/fusion_learnable_interp_seed3,14.0,0.42767357390055705,0.8793482379689277,0.8804439298165689,0.8793969849246231,0.9503995747992634,0.8585131894484412,0.9023746701846965,8263290880.0,8.26329088,47020162.0
fusion_learnable_interp,LearnableInterp,4,runs_binary_iqa/fusion_learnable_interp_seed4,25.0,0.3521825533697204,0.8679602079650421,0.868570578893086,0.8680904522613065,0.9450149642818727,0.8585131894484412,0.8786279683377308,8263290880.0,8.26329088,47020162.0
fusion_gating,Gating,0,runs_binary_iqa/fusion_gating_seed0,16.0,0.40217462476885796,0.8740211315308015,0.8738444600520112,0.8743718592964824,0.9502477173933677,0.8848920863309353,0.862796833773087,8263987200.0,8.2639872,47720562.0
fusion_gating,Gating,1,runs_binary_iqa/fusion_gating_seed1,20.0,0.5572406679715659,0.8743591686238856,0.875888207639693,0.8743718592964824,0.9452237682149793,0.8441247002398081,0.9076517150395779,8263987200.0,8.2639872,47720562.0
fusion_gating,Gating,2,runs_binary_iqa/fusion_gating_seed2,15.0,0.6425848989033762,0.8718520155307933,0.8742114487829262,0.871859296482412,0.9404655694969092,0.8249400479616307,0.9234828496042217,8263987200.0,8.2639872,47720562.0
fusion_gating,Gating,3,runs_binary_iqa/fusion_gating_seed3,22.0,0.511855189772744,0.8741143724696356,0.8742051213910138,0.8743718592964824,0.946141240042267,0.8776978417266187,0.8707124010554089,8263987200.0,8.2639872,47720562.0
fusion_gating,Gating,4,runs_binary_iqa/fusion_gating_seed4,16.0,0.473724187627884,0.8730576779452005,0.8740880646406357,0.8731155778894473,0.946913181855571,0.8537170263788969,0.8944591029023746,8263987200.0,8.2639872,47720562.0
fusion_adapter,Adapter,0,runs_binary_iqa/fusion_adapter_seed0,7.0,0.4954015985973666,0.8780388793325404,0.881529077529533,0.878140703517588,0.9413071126212487,0.8105515587529976,0.9525065963060686,8366051328.0,8.366051328,47716482.0
