batch_size,latency_ms_per_batch,latency_ms_per_image,vram_peak_mb,input_size,profile_iters,warmup_iters,method_id,method_label,seed,run_dir
8,6.328912862141928,0.7911141077677409,2992.68505859375,224,30,10,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0
16,8.816331990559895,0.5510207494099935,883.66943359375,224,30,10,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0
32,17.122969563802084,0.5350927988688151,1172.18505859375,224,30,10,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0
64,35.64134928385417,0.5568960825602214,3645.37255859375,224,30,10,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0
8,6.634330749511719,0.8292913436889648,2989.84912109375,224,30,10,DHTL_wo_KMD,DHTL-Net,1,runs_binary_iqa/DHTL_wo_KMD_seed1
16,8.786406453450521,0.5491504033406576,882.39599609375,224,30,10,DHTL_wo_KMD,DHTL-Net,1,runs_binary_iqa/DHTL_wo_KMD_seed1
32,17.149114990234374,0.5359098434448242,1169.91162109375,224,30,10,DHTL_wo_KMD,DHTL-Net,1,runs_binary_iqa/DHTL_wo_KMD_seed1
64,35.65959879557292,0.5571812311808269,3643.78662109375,224,30,10,DHTL_wo_KMD,DHTL-Net,1,runs_binary_iqa/DHTL_wo_KMD_seed1
8,6.527223714192709,0.8159029642740886,2989.54833984375,224,30,10,DHTL_wo_KMD,DHTL-Net,2,runs_binary_iqa/DHTL_wo_KMD_seed2
16,8.780657958984374,0.5487911224365234,881.51318359375,224,30,10,DHTL_wo_KMD,DHTL-Net,2,runs_binary_iqa/DHTL_wo_KMD_seed2
32,17.049226888020833,0.532788340250651,1170.02880859375,224,30,10,DHTL_wo_KMD,DHTL-Net,2,runs_binary_iqa/DHTL_wo_KMD_seed2
64,35.658060709635414,0.5571571985880533,3643.07958984375,224,30,10,DHTL_wo_KMD,DHTL-Net,2,runs_binary_iqa/DHTL_wo_KMD_seed2
8,6.359440104166667,0.7949300130208333,2991.77490234375,224,30,10,DHTL_wo_KMD,DHTL-Net,3,runs_binary_iqa/DHTL_wo_KMD_seed3
16,8.851722208658854,0.5532326380411784,884.00927734375,224,30,10,DHTL_wo_KMD,DHTL-Net,3,runs_binary_iqa/DHTL_wo_KMD_seed3
32,17.12464599609375,0.5351451873779297,1171.27490234375,224,30,10,DHTL_wo_KMD,DHTL-Net,3,runs_binary_iqa/DHTL_wo_KMD_seed3
64,35.605830891927084,0.5563411076863607,3645.14990234375,224,30,10,DHTL_wo_KMD,DHTL-Net,3,runs_binary_iqa/DHTL_wo_KMD_seed3
8,6.345151774088541,0.7931439717610677,2989.91552734375,224,30,10,DHTL_wo_KMD,DHTL-Net,4,runs_binary_iqa/DHTL_wo_KMD_seed4
16,8.85957539876302,0.5537234624226888,882.52099609375,224,30,10,DHTL_wo_KMD,DHTL-Net,4,runs_binary_iqa/DHTL_wo_KMD_seed4
32,17.110467529296876,0.5347021102905274,1169.79052734375,224,30,10,DHTL_wo_KMD,DHTL-Net,4,runs_binary_iqa/DHTL_wo_KMD_seed4
64,35.67237955729167,0.5573809305826823,3643.82177734375,224,30,10,DHTL_wo_KMD,DHTL-Net,4,runs_binary_iqa/DHTL_wo_KMD_seed4
8,11.729374186197916,1.4661717732747397,2993.12646484375,224,30,10,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0
16,12.483399454752604,0.7802124659220377,886.69384765625,224,30,10,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0
32,22.923687744140626,0.7163652420043946,1174.40771484375,224,30,10,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0
64,79.18684895833333,1.2372945149739585,3648.03271484375,224,30,10,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0
8,8.453785705566407,1.0567232131958009,2994.67333984375,224,30,10,DAF,DHTL-Net w/o KMD,1,runs_binary_iqa/DAF_seed1
16,18.702878824869792,1.168929926554362,886.48681640625,224,30,10,DAF,DHTL-Net w/o KMD,1,runs_binary_iqa/DAF_seed1
32,45.67218831380208,1.427255884806315,1173.11083984375,224,30,10,DAF,DHTL-Net w/o KMD,1,runs_binary_iqa/DAF_seed1
64,91.30428873697916,1.4266295115152994,3647.09521484375,224,30,10,DAF,DHTL-Net w/o KMD,1,runs_binary_iqa/DAF_seed1
8,13.25120137532552,1.65640017191569,2993.36083984375,224,30,10,DAF,DHTL-Net w/o KMD,2,runs_binary_iqa/DAF_seed2
16,10.208341471354167,0.6380213419596354,885.64306640625,224,30,10,DAF,DHTL-Net w/o KMD,2,runs_binary_iqa/DAF_seed2
32,28.694460042317708,0.8967018763224284,1173.29833984375,224,30,10,DAF,DHTL-Net w/o KMD,2,runs_binary_iqa/DAF_seed2
64,57.85062662760416,0.9039160410563152,3646.48583984375,224,30,10,DAF,DHTL-Net w/o KMD,2,runs_binary_iqa/DAF_seed2
8,10.585209147135416,1.3231511433919272,2992.16943359375,224,30,10,DAF,DHTL-Net w/o KMD,3,runs_binary_iqa/DAF_seed3
16,14.359468587239585,0.8974667867024739,886.44775390625,224,30,10,DAF,DHTL-Net w/o KMD,3,runs_binary_iqa/DAF_seed3
32,39.574031575520834,1.236688486735026,1172.32958984375,224,30,10,DAF,DHTL-Net w/o KMD,3,runs_binary_iqa/DAF_seed3
64,60.12498372395833,0.9394528706868488,3646.31005859375,224,30,10,DAF,DHTL-Net w/o KMD,3,runs_binary_iqa/DAF_seed3
8,7.542988586425781,0.9428735733032226,2995.22021484375,224,30,10,DAF,DHTL-Net w/o KMD,4,runs_binary_iqa/DAF_seed4
16,19.31873779296875,1.207421112060547,890.38525390625,224,30,10,DAF,DHTL-Net w/o KMD,4,runs_binary_iqa/DAF_seed4
32,18.09417317708333,0.5654429117838542,1175.36083984375,224,30,10,DAF,DHTL-Net w/o KMD,4,runs_binary_iqa/DAF_seed4
64,75.48428548177084,1.1794419606526694,3648.96630859375,224,30,10,DAF,DHTL-Net w/o KMD,4,runs_binary_iqa/DAF_seed4
8,8.72735595703125,1.0909194946289062,3226.421875,224,30,10,fusion_residual,Residual,0,runs_binary_iqa/fusion_residual_seed0
16,18.23234659830729,1.1395216623942055,1113.78173828125,224,30,10,fusion_residual,Residual,0,runs_binary_iqa/fusion_residual_seed0
32,28.608831787109374,0.8940259933471679,1396.62548828125,224,30,10,fusion_residual,Residual,0,runs_binary_iqa/fusion_residual_seed0
64,48.54376627604167,0.758496348063151,3882.125,224,30,10,fusion_residual,Residual,0,runs_binary_iqa/fusion_residual_seed0
8,10.2766357421875,1.2845794677734377,3044.44189453125,224,30,10,fusion_residual,Residual,1,runs_binary_iqa/fusion_residual_seed1
16,21.13712361653646,1.3210702260335287,931.0126953125,224,30,10,fusion_residual,Residual,1,runs_binary_iqa/fusion_residual_seed1
32,32.27551066080729,1.008609708150228,1211.9501953125,224,30,10,fusion_residual,Residual,1,runs_binary_iqa/fusion_residual_seed1
64,84.5732666015625,1.321457290649414,3697.44970703125,224,30,10,fusion_residual,Residual,1,runs_binary_iqa/fusion_residual_seed1
8,13.09401143391927,1.6367514292399088,3044.36376953125,224,30,10,fusion_residual,Residual,2,runs_binary_iqa/fusion_residual_seed2
16,7.686543782552083,0.4804089864095052,931.1455078125,224,30,10,fusion_residual,Residual,2,runs_binary_iqa/fusion_residual_seed2
32,26.94456176757813,0.8420175552368164,1212.6767578125,224,30,10,fusion_residual,Residual,2,runs_binary_iqa/fusion_residual_seed2
