method_id,method_label,seed,run_dir,best_epoch,test_loss,test_macro_f1,test_balanced_acc,test_accuracy,test_auc,test_sensitivity_usable,test_specificity_unusable,forward_flops_per_sample,forward_gflops_per_sample,profiled_params
DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0,,0.32174022308546096,0.9130386595122476,0.9126978100896592,0.9133165829145728,0.9714128433401036,0.9256594724220624,0.899736147757256,8523804672.0,8.523804672,55358338.0
DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0,,0.4092803675325672,0.8907019650982391,0.8925577216327203,0.8907035175879398,0.9626367507577052,0.8537170263788969,0.9313984168865436,8468811776.0,8.468811776,51216514.0
fusion_residual,Residual,0,runs_binary_iqa/fusion_residual_seed0,16.0,0.382394297947012,0.8819095477386935,0.8839239953683491,0.8819095477386935,0.9540314977569395,0.841726618705036,0.9261213720316622,8263290880.0,8.26329088,47020162.0
fusion_fixed_interp,FixedInterp,0,runs_binary_iqa/fusion_fixed_interp_seed0,16.0,0.38635163547368206,0.8664260385005066,0.8661693336623577,0.8668341708542714,0.9464955739893572,0.8800959232613909,0.8522427440633246,8263290880.0,8.26329088,47020162.0
fusion_learnable_interp,LearnableInterp,0,runs_binary_iqa/fusion_learnable_interp_seed0,25.0,0.5626533926633098,0.8666447505673951,0.8670108767866973,0.8668341708542714,0.939231728074005,0.8633093525179856,0.8707124010554089,8263290880.0,8.26329088,47020162.0
fusion_gating,Gating,0,runs_binary_iqa/fusion_gating_seed0,16.0,0.40217462476885796,0.8740211315308015,0.8738444600520112,0.8743718592964824,0.9502477173933677,0.8848920863309353,0.862796833773087,8263987200.0,8.2639872,47720562.0
fusion_adapter,Adapter,0,runs_binary_iqa/fusion_adapter_seed0,7.0,0.4954015985973666,0.8780388793325404,0.881529077529533,0.878140703517588,0.9413071126212487,0.8105515587529976,0.9525065963060686,8366051328.0,8.366051328,47716482.0
transfer_frozen,Frozen,0,runs_binary_iqa/transfer_frozen_seed0,24.0,0.4562585009402366,0.7826547409922173,0.7847516182304816,0.7826633165829145,0.8765272742228382,0.7410071942446043,0.8284960422163589,4131698688.0,4.131698688,23512130.0
transfer_all,All,0,runs_binary_iqa/transfer_all_seed0,21.0,0.36179675969725766,0.9006846448454219,0.9015489455401378,0.9007537688442211,0.9636238238960283,0.8848920863309353,0.9182058047493403,4131698688.0,4.131698688,23512130.0
transfer_l4,FT-S4,0,runs_binary_iqa/transfer_l4_seed0,16.0,0.5450650916982386,0.8680852474230221,0.8697727833564284,0.8680904522613065,0.9355618407648553,0.8345323741007195,0.9050131926121372,4131698688.0,4.131698688,23512130.0
transfer_l34,FT-S3-S4,0,runs_binary_iqa/transfer_l34_seed0,24.0,0.4518560178164889,0.8755572399744179,0.8764861461754079,0.8756281407035176,0.9498047999595046,0.8585131894484412,0.8944591029023746,4131698688.0,4.131698688,23512130.0
transfer_l234,FT-S2-S4,0,runs_binary_iqa/transfer_l234_seed0,22.0,0.33493394886223066,0.9056858628321729,0.9063451086096821,0.9057788944723618,0.9627506438121272,0.894484412470024,0.9182058047493403,4131698688.0,4.131698688,23512130.0
